TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
23643,2,4,Elliottia pyroliflorus,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,8944,copperbush
23646,2,5,Epigaea repens,0.5,1,25.0,25.0,18.72,0.01,2500.0,,28.0,0.6,8000.0,8000.0,0,1,1,1,0,trailing arbutus
23647,2,7,Erica spp.,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,heath
23649,2,7,Erica lusitanica,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,Spanish heath
23653,2,6,Gaultheria hispidula,0.5,2,25.0,21.85,18.72,0.01,2000.0,,11.0,0.6,8000.0,8000.0,0,1,0,1,0,creeping snowberry
23654,2,5,Gaultheria humifusa,0.5,1,25.0,25.0,18.72,,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,0,alpine spicywintergreen
23656,2,5,Gaultheria ovatifolia,0.5,1,25.0,25.0,18.72,,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,0,western teaberry
23657,2,4,Gaultheria procumbens,0.5,1,25.0,21.85,18.72,0.01,2500.0,,24.0,0.6,8000.0,8000.0,0,1,1,1,0,eastern teaberry
23658,2,6,Gaultheria shallon,0.5,2,25.0,21.85,18.72,0.01,2000.0,,11.0,0.6,8000.0,8000.0,0,1,0,1,0,salal
23659,2,4,Gaylussacia spp.,0.5,1,25.0,25.0,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,huckleberry
23660,2,4,Gaylussacia baccata,0.5,1,25.0,21.85,18.72,0.01,2500.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,black huckleberry
23661,2,5,Gaylussacia brachycera,0.5,2,25.0,21.85,18.72,0.01,2500.0,,18.0,0.6,8000.0,8000.0,0,1,0,1,0,box huckleberry
23662,2,4,Gaylussacia dumosa,0.5,1,25.0,21.85,18.72,0.01,2500.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,dwarf huckleberry
23663,2,4,Gaylussacia frondosa,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,blue huckleberry
23666,2,5,Gaylussacia ursina,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,bear huckleberry
23677,3,5,Kalmia latifolia,0.5,2,25.0,25.0,18.72,0.01,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,mountain laurel
23678,2,5,Kalmia microphylla,0.5,1,25.0,25.0,18.72,0.01,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,0,alpine laurel
23679,3,5,Kalmia polifolia,0.5,1,25.0,32.2,18.72,0.01,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,bog laurel
23681,2,5,Leiophyllum buxifolium,0.5,1,25.0,25.0,18.72,0.01,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,8944,sandmyrtle
23684,2,4,Menziesia ferruginea,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,rusty menziesia
23690,3,4,Oxydendrum arboreum,0.5,1,25.0,38.4,21.03,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,sourwood
23693,2,7,Phyllodoce aleutica,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,Aleutian mountainheath
23697,2,7,Phyllodoce empetriformis,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,pink mountainheath
23698,2,7,Phyllodoce glanduliflora,0.5,2,25.0,25.0,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,yellow mountainheath
23700,2,5,Rhododendron spp.,0.5,1,25.0,21.85,18.72,0.01,2500.0,,22.0,0.6,8000.0,8000.0,0,1,0,1,0,rhododendron
23702,2,4,Rhododendron albiflorum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,Cascade azalea
23703,2,4,Rhododendron arborescens,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,smooth azalea
23707,2,4,Rhododendron calendulaceum,0.5,1,25.0,21.85,18.72,0.01,2500.0,3.0,10.0,0.6,8000.0,8000.0,1,1,0,1,0,flame azalea
23712,2,4,Rhododendron canescens,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,mountain azalea
23713,2,5,Rhododendron carolinianum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,22.0,0.6,8000.0,8000.0,0,1,0,1,8945,Carolina azalea
23714,2,5,Rhododendron catawbiense,0.5,1,25.0,21.85,18.72,0.01,2500.0,,22.0,0.6,8000.0,8000.0,0,1,0,1,0,Catawba rosebay
23720,2,6,Rhododendron macrophyllum,0.5,2,25.0,21.85,18.72,0.01,2000.0,,22.0,0.6,8000.0,8000.0,0,1,0,1,0,Pacific rhododendron
23721,3,5,Rhododendron maximum,0.5,1,25.0,23.22,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,great laurel
